,STAID,STANAME,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN-2009,CLASS,AGGECOREGION
7357,10310000.0,"WEST FORK CARSON RIVER AT WOODFORDS, CA",169.3,16,38.769628000000004,-119.833789,CA,,Non-ref,WestMnts
7398,10336580.0,UPPER TRUCKEE RV AT S UPPER TRUCKEE RD NR MEYERS,36.9,16,38.7963,-120.01907,CA,,Ref,WestMnts
7399,10336600.0,UP TRUCKEE R NR MEYERS CA,85.5,16,38.842963,-120.024627,CA,,Ref,WestMnts
7400,103366092.0,"UPPER TRUCKEE RV AT HWY 50 ABV MEYERS, CA",100.9,16,38.848519,-120.027128,CA,,Non-ref,WestMnts
7401,103366097.0,ANGORA CK NR MOUTH AT LAKE TAHOE GOLF COURSE,15.2,16,38.87375,-120.01,CA,,Non-ref,WestMnts
7402,10336610.0,UP TRUCKEE R A SOUTH LAKE TAHOE CA,139.6,16,38.922408000000004,-119.991571,CA,,Non-ref,WestMnts
7403,10336626.0,TAYLOR C NR CAMP RICHARDSON CA,43.4,16,38.921574,-120.061295,CA,,Non-ref,WestMnts
7404,10336645.0,GENERAL C NR MEEKS BAY CA,19.6,16,39.051852000000004,-120.118521,CA,yes,Ref,WestMnts
7405,10336660.0,BLACKWOOD C NR TAHOE CITY CA,29.8,16,39.107407,-120.162135,CA,yes,Ref,WestMnts
7406,10336674.0,WARD C BL CONFLUENCE NR TAHOE CITY CA,12.9,16,39.14074,-120.21213799999998,CA,,Ref,WestMnts
7407,10336676.0,WARD C AT HWY 89 NR TAHOE PINES CA,24.7,16,39.132129,-120.15769099999999,CA,yes,Ref,WestMnts
7416,10336770.0,"TROUT CK AT USFS RD 12N01 NR MEYERS, CA",19.1,16,38.863240999999995,-119.95823700000001,CA,,Ref,WestMnts
7417,10336775.0,"TROUT CK AT PIONEER TRAIL NR SOUTH LAKE TAHOE, CA",60.2,16,38.903394,-119.968892,CA,,Non-ref,WestMnts
7418,10336780.0,TROUT C NR TAHOE VALLEY CA,95.1,16,38.919908,-119.972404,CA,,Non-ref,WestMnts
7419,10337500.0,TRUCKEE R A TAHOE CITY CA,1312.2,16,39.166296,-120.14435900000001,CA,,Non-ref,WestMnts
7420,10338000.0,TRUCKEE R NR TRUCKEE CA,1432.2,16,39.296295,-120.205475,CA,,Non-ref,WestMnts
7421,10338001.0,TRUCKEE-CARSON TRUCKEE R NR TRUCKEE CA,1430.7,16,39.291573,-120.209364,CA,,Non-ref,WestMnts
7422,10338500.0,DONNER C A DONNER LK NR TRUCKEE CA,37.9,16,39.323516999999995,-120.234365,CA,,Non-ref,WestMnts
7423,10338700.0,DONNER C AT HWY 89 NR TRUCKEE CA,75.9,16,39.321017,-120.207976,CA,,Non-ref,WestMnts
7424,10339400.0,MARTIS C NR TRUCKEE CA,102.9,16,39.328796000000004,-120.117696,CA,,Non-ref,WestMnts
7425,10340500.0,PROSSER C BL PROSSER C DAM NR TRUCKEE CA,138.4,16,39.37324,-120.13158700000001,CA,,Non-ref,WestMnts
7426,10342000.0,LITTLE TRUCKEE R NR HOBART MILLS CA,95.0,16,39.501294,-120.277426,CA,,Non-ref,WestMnts
7427,10343000.0,INDEPENDENCE C NR TRUCKEE CA,21.4,16,39.456571999999994,-120.287148,CA,,Non-ref,WestMnts
7428,10343500.0,SAGEHEN C NR TRUCKEE CA,27.6,16,39.431571999999996,-120.23797900000001,CA,yes,Ref,WestMnts
7429,10344400.0,LITTLE TRUCKEE R AB BOCA RES NR TRUCKEE CA,377.5,16,39.435741,-120.08436599999999,CA,,Non-ref,WestMnts
7430,10344500.0,LITTLE TRUCKEE R BL BOCA DAM NR TRUCKEE CA,445.8,16,39.386852000000005,-120.095476,CA,,Non-ref,WestMnts
7431,10346000.0,TRUCKEE R A FARAD CA,2415.9,16,39.427964,-120.03408700000001,CA,,Non-ref,WestMnts
7459,10356500.0,SUSAN R A SUSANVILLE CA,469.2,18,40.417395,-120.67189599999999,CA,,Non-ref,WestMnts
7460,10358500.0,WILLOW C NR SUSANVILLE CA,237.7,18,40.489064,-120.537171,CA,,Non-ref,WestMnts
7461,10359300.0,PINE C NR SUSANVILLE CA,614.4,18,40.664894,-120.79134599999999,CA,,Ref,WestMnts
7462,10360900.0,BIDWELL C BL MILL C NR FORT BIDWELL CA,58.6,18,41.88239,-120.17495100000001,CA,,Ref,WestMnts
7475,11012000.0,COTTONWOOD C AB TECATE C NR DULZURA CA,803.8,18,32.575061,-116.75390800000001,CA,,Non-ref,WestXeric
7476,11014000.0,JAMUL C NR JAMUL CA,181.8,18,32.637557,-116.88418899999999,CA,,Non-ref,WestXeric
7477,11015000.0,SWEETWATER R NR DESCANSO CA,117.8,18,32.834773999999996,-116.623075,CA,yes,Ref,WestXeric
7478,11016200.0,SWEETWATER R A DEHESA CA,338.8,18,32.77417,-116.85028,CA,,Non-ref,WestXeric
7479,11022200.0,LOS COCHES C NR LAKESIDE CA,31.6,18,32.836162,-116.900304,CA,,Non-ref,WestXeric
7480,11022480.0,SAN DIEGO R A MAST RD NR SANTEE CA,953.6,18,32.840327,-117.02586299999999,CA,,Non-ref,WestXeric
7481,11022500.0,SAN DIEGO R NR SANTEE CA,978.3,18,32.824771000000005,-117.055586,CA,,Non-ref,WestXeric
7482,11023000.0,SAN DIEGO R A FASHION VALLEY AT SAN DIEGO CA,1111.0,18,32.76505,-117.168645,CA,,Non-ref,WestXeric
7483,11023330.0,LOS PENASQUITOS C BL POWAY C NR POWAY CA,81.1,18,32.949212,-117.07003200000001,CA,,Non-ref,WestXeric
7484,11023340.0,LOS PENASQUITOS C NR POWAY CA,109.6,18,32.943101,-117.1217,CA,,Non-ref,WestXeric
7485,11025500.0,SANTA YSABEL C NR RAMONA CA,288.7,18,33.106987,-116.86613700000001,CA,,Non-ref,WestXeric
7486,11026000.0,SANTA YSABEL C NR SAN PASQUAL CA,331.5,18,33.086153,-116.916417,CA,,Non-ref,WestXeric
7487,11027000.0,GUEJITO C NR SAN PASQUAL CA,58.2,18,33.115874,-116.953084,CA,,Non-ref,WestXeric
7488,11028500.0,SANTA MARIA C NR RAMONA CA,146.3,18,33.052265999999996,-116.94558400000001,CA,,Non-ref,WestXeric
7489,11031500.0,AGUA CALIENTE C NR WARNER SPRINGS CA,49.6,18,33.288647999999995,-116.653908,CA,,Ref,WestXeric
7490,11033000.0,WF SAN LUIS REY R NR WARNER SPRINGS CA,67.4,18,33.296704,-116.759744,CA,,Ref,WestXeric
7491,11040000.0,SAN LUIS REY R AT MONSERATE NARROWS CA,966.0,18,33.337255,-117.13614299999999,CA,,Non-ref,WestXeric
7492,11041000.0,SAN LUIS REY R NR BONSALL CA,1325.7,18,33.253646,-117.24753500000001,CA,,Non-ref,WestXeric
