,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf,Dryest Day
39059,1980-09-20,11149900,35.89663400000001,-121.088249,0.020731707317073172,263
39515,1980-12-19,11150500,35.930243,-120.868791,109.61000000000001,353
39754,1980-08-14,11151300,36.26802100000001,-121.066303,0.5854999999999999,226
40202,1980-11-04,11151700,36.411076,-121.319374,70.53722222222221,308
40508,1980-09-05,11152000,36.280521,-121.322706,5.18525,248
40928,1980-10-29,11152300,36.555517,-121.549663,32.15,302
41289,1980-10-24,11152500,36.631071,-121.672446,11.367499999999998,297
41666,1980-11-04,11152600,36.755792,-121.610501,0.032,308
42031,1980-11-03,11156500,36.609406,-121.20298,6.19775,307
42370,1980-10-07,11158600,36.851899,-121.429937,1.0619512195121952,280
42732,1980-10-03,11159000,36.900231,-121.597721,6.239268292682927,276
43076,1980-09-11,11159200,36.939397,-121.770506,0.10225,254
43464,1980-10-03,11160000,36.991339,-121.955793,2.4541463414634155,276
43830,1980-10-03,11160500,37.044393,-122.072464,15.790975609756096,276
44201,1980-10-08,11162500,37.260777,-122.32886,2.564146341463414,281
44557,1980-09-28,11162630,37.466607,-122.434142,0.9543902439024392,271
44894,1980-08-30,11164500,37.423273,-122.18941,0.3249999999999999,242
45268,1980-09-07,11166000,37.421606,-122.135519,0.1613513513513514,250
45623,1980-08-27,11169500,37.254388,-122.039404,0.59325,239
46009,1980-09-16,11176400,37.561322,-121.683839,0.06902439024390244,259
46245,1980-05-09,11176500,37.623265,-121.758842,3.0170000000000003,129
46756,1980-10-01,11176900,37.626599,-121.883013,12.698108108108107,274
47129,1980-10-08,11179000,37.587157,-121.960793,24.278292682926825,281
47477,1980-09-20,11180500,37.606045,-122.02385,0.00024390243902439024,263
47480,1980-09-23,11180500,37.606045,-122.02385,0.00024390243902439024,266
47831,1980-09-08,11180700,37.585768,-122.048296,2.4905,251
48217,1980-09-28,11180825,37.695208,-122.044962,0.19,271
48578,1980-09-23,11180960,37.717707,-122.054407,0.002682926829268293,266
