,Date,site_no,LAT_GAGE,LNG_GAGE,LstAvgStrf
59915,09 14,11274500,37.315492,-121.125208,0.0
59916,09 15,11274500,37.315492,-121.125208,0.0
59917,09 16,11274500,37.315492,-121.125208,0.0
59918,09 17,11274500,37.315492,-121.125208,0.0
59919,09 18,11274500,37.315492,-121.125208,0.0
59920,09 19,11274500,37.315492,-121.125208,0.0
59921,09 20,11274500,37.315492,-121.125208,0.0
59922,09 21,11274500,37.315492,-121.125208,0.0
59923,09 22,11274500,37.315492,-121.125208,0.0
59924,09 23,11274500,37.315492,-121.125208,0.0
59925,09 24,11274500,37.315492,-121.125208,0.0
59926,09 25,11274500,37.315492,-121.125208,0.0
59927,09 26,11274500,37.315492,-121.125208,0.0
59928,09 27,11274500,37.315492,-121.125208,0.0
59929,09 28,11274500,37.315492,-121.125208,0.0
59930,09 29,11274500,37.315492,-121.125208,0.0
59931,09 30,11274500,37.315492,-121.125208,0.0
59932,10 01,11274500,37.315492,-121.125208,0.0
59933,10 02,11274500,37.315492,-121.125208,0.0
59934,10 03,11274500,37.315492,-121.125208,0.0
59935,10 04,11274500,37.315492,-121.125208,0.0
59936,10 05,11274500,37.315492,-121.125208,0.0
59937,10 06,11274500,37.315492,-121.125208,0.0
59938,10 07,11274500,37.315492,-121.125208,0.0
59939,10 08,11274500,37.315492,-121.125208,0.0
59940,10 09,11274500,37.315492,-121.125208,0.0
59941,10 10,11274500,37.315492,-121.125208,0.0
59942,10 11,11274500,37.315492,-121.125208,0.0
59943,10 12,11274500,37.315492,-121.125208,0.0
59944,10 13,11274500,37.315492,-121.125208,0.0
59948,10 17,11274500,37.315492,-121.125208,0.0
59949,10 18,11274500,37.315492,-121.125208,0.0
59950,10 19,11274500,37.315492,-121.125208,0.0
59951,10 20,11274500,37.315492,-121.125208,0.0
59952,10 21,11274500,37.315492,-121.125208,0.0
59953,10 22,11274500,37.315492,-121.125208,0.0
59954,10 23,11274500,37.315492,-121.125208,0.0
59955,10 24,11274500,37.315492,-121.125208,0.0
59956,10 25,11274500,37.315492,-121.125208,0.0
59957,10 26,11274500,37.315492,-121.125208,0.0
59958,10 27,11274500,37.315492,-121.125208,0.0
59959,10 28,11274500,37.315492,-121.125208,0.0
59960,10 29,11274500,37.315492,-121.125208,0.0
59961,10 30,11274500,37.315492,-121.125208,0.0
59962,10 31,11274500,37.315492,-121.125208,0.0
59963,11 01,11274500,37.315492,-121.125208,0.0
59964,11 02,11274500,37.315492,-121.125208,0.0
59965,11 03,11274500,37.315492,-121.125208,0.0
59966,11 04,11274500,37.315492,-121.125208,0.0
59967,11 05,11274500,37.315492,-121.125208,0.0
59968,11 06,11274500,37.315492,-121.125208,0.0
59969,11 07,11274500,37.315492,-121.125208,0.0
59970,11 08,11274500,37.315492,-121.125208,0.0
59971,11 09,11274500,37.315492,-121.125208,0.0
59972,11 10,11274500,37.315492,-121.125208,0.0
60285,09 18,11274630,37.486599,-121.209103,0.04536585365853659
60728,12 04,11276500,37.937421,-119.798233,47.7025
61048,10 19,11276600,37.879368,-119.947126,54.52307692307693
61407,10 12,11276900,37.881591,-119.970182,65.7731707317073
61784,10 23,11277300,37.967699,-119.917403,6.026999999999998
62141,10 14,11278000,37.969088,-119.882124,9.229756097560973
62508,10 15,11278300,37.894368,-119.962682,18.05641025641026
62901,11 11,11278400,37.890202,-119.969905,246.57999999999998
63215,09 20,11284400,37.84187100000001,-120.18491000000002,0.006341463414634147
63216,09 21,11284400,37.84187100000001,-120.18491000000002,0.006341463414634147
63633,11 11,11289650,37.666321,-120.44213899999998,271.0
64003,11 15,11290000,37.626875,-120.98798899999998,455.95
64109,02 29,11292000,38.297412,-119.741287,36.0
64682,09 23,11292700,38.24686,-120.031852,37.32051282051282
65086,10 31,11292900,38.193251,-120.099076,144.66666666666666
65207,02 29,11294000,38.392968,-119.999074,99.9
65823,11 05,11294500,38.245751,-120.289917,158.89743589743588
66116,08 24,11296500,38.197417,-120.008518,22.58205128205128
66507,09 18,11298000,38.092421,-120.168244,3.4450000000000003
66830,08 06,11299600,37.961036,-120.615203,0.0
66831,08 07,11299600,37.961036,-120.615203,0.0
66832,08 08,11299600,37.961036,-120.615203,0.0
66833,08 09,11299600,37.961036,-120.615203,0.0
66834,08 10,11299600,37.961036,-120.615203,0.0
66835,08 11,11299600,37.961036,-120.615203,0.0
66836,08 12,11299600,37.961036,-120.615203,0.0
66837,08 13,11299600,37.961036,-120.615203,0.0
66838,08 14,11299600,37.961036,-120.615203,0.0
66839,08 15,11299600,37.961036,-120.615203,0.0
66840,08 16,11299600,37.961036,-120.615203,0.0
66841,08 17,11299600,37.961036,-120.615203,0.0
66842,08 18,11299600,37.961036,-120.615203,0.0
66843,08 19,11299600,37.961036,-120.615203,0.0
66844,08 20,11299600,37.961036,-120.615203,0.0
66845,08 21,11299600,37.961036,-120.615203,0.0
66846,08 22,11299600,37.961036,-120.615203,0.0
66847,08 23,11299600,37.961036,-120.615203,0.0
66871,09 16,11299600,37.961036,-120.615203,0.0
66872,09 17,11299600,37.961036,-120.615203,0.0
66873,09 18,11299600,37.961036,-120.615203,0.0
66874,09 19,11299600,37.961036,-120.615203,0.0
66875,09 20,11299600,37.961036,-120.615203,0.0
66876,09 21,11299600,37.961036,-120.615203,0.0
67294,11 12,11302000,37.851594,-120.637982,331.56410256410254
67664,11 16,11303000,37.729651,-121.110493,414.725
67985,10 02,11314500,38.493523,-120.221027,42.47692307692307
